REPORT DATE,Regione,Ricoverati con sintomi,Terapia intensiva,Totale attualmente positivi,DECEDUTI,Isolamento domiciliare,CASI TOTALI - A,Totale tamponi effettuati,SCHEMA VERSION
2020-06-16,Valle d'Aosta,6,0,10,144,4,1191,16764,v5
2020-06-16,Friuli VG,14,0,99,343,85,3297,162440,v5
2020-06-16,Sicilia,32,4,806,280,770,3460,182514,v5
2020-06-16,Trento,2,0,64,465,62,4448,104696,v5
2020-06-16,Abruzzo,67,3,468,457,398,3280,92874,v5
2020-06-17,Lazio,284,38,1039,818,717,7977,305906,v5
2020-06-17,Basilicata,0,1,10,27,9,401,36011,v5
2020-06-17,Puglia,46,2,324,536,276,4516,154143,v5
2020-06-17,Piemonte,448,25,2385,4026,1912,31131,377165,v5
2020-06-17,Emilia Romagna,173,11,1345,4215,1161,28111,426730,v5
2020-06-17,Veneto,37,1,680,1987,642,19225,837394,v5
2020-06-17,Toscana,33,14,444,1092,397,10193,300612,v5
2020-06-17,Liguria,73,2,244,1532,169,9896,130870,v5
2020-06-17,Marche,21,0,585,994,564,6764,123770,v5
2020-06-17,Campania,48,2,258,431,208,4614,258207,v5
2020-06-17,Trento,2,0,58,465,56,4449,105841,v5
2020-06-17,Lombardia,1796,59,14972,16480,13117,92302,917881,v5
2020-06-17,Valle d'Aosta,5,0,8,144,3,1191,16918,v5
2020-06-17,Sardegna,11,0,31,132,20,1366,71452,v5
2020-06-17,Umbria,7,2,18,77,9,1437,84511,v5
2020-06-17,Calabria,18,0,33,97,15,1162,84265,v5
2020-06-17,Abruzzo,61,2,438,457,375,3281*,94391,v5
2020-06-17,Friuli VG,16,0,99,343,83,3299,166064,v5
2020-06-17,Sicilia,25,3,805,280,777,3462,184412,v5
2020-06-17,Molise,1,0,62,23,61,440,19635,v5
2020-06-17,Bolzano,8,1,87,292,78,2611,77230,v5
2020-06-18,Lazio,261,38,997,822,698,7986,309169,v5
2020-06-18,Basilicata,0,1,10,27,9,401,36382,v5
2020-06-18,Puglia,34,1,306,538,271,4519,156582,v5
2020-06-18,Piemonte,397,25,2290,4032,1868,31162,380395,v5
2020-06-18,Emilia Romagna,159,11,1281,4219,1111,28143,435351,v5
2020-06-18,Veneto,33,1,607,1994,573,19233,847997,v5
2020-06-18,Toscana,23,13,438,1093,402,10195,303786,v5
2020-06-18,Liguria,70,2,246,1536,174,9903,132375,v5
2020-06-18,Marche,19,0,577,994,558,6768,125339,v5
2020-06-18,Campania,52,6,242,431,184,4615,259655,v5
2020-06-18,Trento,2,0,59,465,57,4457,107366,v5
2020-06-18,Calabria,18,0,35,97,17,1165,85222,v5
2020-06-18,Valle d'Aosta,5,0,6,145,1,1191,17057,v5
2020-06-18,Sardegna,10,0,31,132,21,1367,72722,v5
2020-06-18,Umbria,5,2,16,77,9,1437,85586,v5
2020-06-18,Lombardia,1673,60,14647,16516,12914,92518,929356,v5
2020-06-18,Abruzzo,58,2,434,458,374,3281*,95546,v5
2020-06-18,Friuli VG,15,1,97,343,81,3301,167485,v5
2020-06-18,Sicilia,24,3,637,280,610,3464,186253,v5
2020-06-18,Molise,1,0,60,23,59,440,19984,v5
2020-06-18,Bolzano,8,2,85,292,75,2613,77954,v5
2020-06-19,Lazio,247,38,988,826,703,7995,312708,v5
2020-06-19,Basilicata,0,1,8,27,7,401,36705,v5
2020-06-19,Puglia,31,1,255,538,223,4520,158828,v5
2020-06-19,Piemonte,363,22,2178,4039,1793,31188,384705,v5
2020-06-19,Emilia,145,11,1219,4224,1063,28170,443301,v5
2020-06-19,RVoemnaegtona,30,1,582,1998,551,19235,858726,v5
2020-06-19,Toscana,18,12,423,1095,393,10205,306489,v5
2020-06-19,Liguria,66,3,249,1540,180,9910,133898,v5
2020-06-19,Marche,14,0,560,994,546,6768,126380,v5
2020-06-19,Campania,47,3,125,431,75,4615,261642,v5
2020-06-19,Trento,2,0,56,466,54,4458,108564,v5
2020-06-19,Lombardia,1537,60,14045,16534,12448,92675,939820,v5
2020-06-19,Valle d'Aosta,4,0,4,146,0,1191,17183,v5
2020-06-19,Sardegna,10,0,30,132,20,1368,73846,v5
2020-06-19,Umbria,5,2,17,77,10,1438,86693,v5
2020-06-19,Calabria,18,0,34,97,16,1165,86273,v5
2020-06-19,Abruzzo,53,1,407,459,353,3280**,96581,v5
2020-06-19,Friuli VG,16,0,85,343,69,3303,170109,v5
2020-06-19,Sicilia,21,5,150,280,124,3070*,187869,v5
2020-06-19,Molise,2,0,53,23,51,441,20203,v5
2020-06-19,Bolzano,3,1,75,292,71,2615,78580,v5
2020-06-20,Lazio,247,39,987,827,701,8009,316109,v5
2020-06-20,Basilicata,0,1,8,27,7,401,36975,v5
2020-06-20,Puglia,32,1,220,540,187,4525,160662,v5
2020-06-20,Piemonte,358,17,2088,4045,1713,31215,387713,v5
2020-06-20,Emilia,140,11,1207,4230,1056,28198,449616,v5
2020-06-20,RVoemnaegtona,27,1,575,2002,547,19238,870830,v5
2020-06-20,Toscana,19,12,414,1095,383,10207,309250,v5
2020-06-20,Liguria,61,3,250,1545,186,9920,135379,v5
2020-06-20,Marche,13,0,539,994,526,6768,127450,v5
2020-06-20,Calabria,18,0,30,97,12,1167**,87292,v5
2020-06-20,Trento,1,0,51,466,50,4458,110268,v5
2020-06-20,Campania,48,1,125,431,76,4615,263560,v5
2020-06-20,Valle d'Aosta,4,0,6,146,2,1193,17297,v5
2020-06-20,Sardegna,9,0,28,132,19,1369,75217,v5
